Date,Open,High,Low,Close,Volume,Adj Close
11/15/2012,6.53,6.55,6,6.16,336200,6.16
11/14/2012,6.43,7.9,6.41,6.5,691200,6.5
11/13/2012,6.77,6.77,6.34,6.42,257600,6.42
11/12/2012,7.41,7.44,6.7,6.9,261300,6.9
11/9/2012,7.8,7.89,7.25,7.39,369500,7.39
11/8/2012,7.41,8.48,7.41,7.66,848000,7.66
11/7/2012,6.77,7.92,6.6,7.46,558000,7.46
11/6/2012,6.68,7.14,6.68,6.94,231800,6.94
11/5/2012,6.67,6.95,6.67,6.77,148100,6.77
11/2/2012,6.6,6.9,6.6,6.8,184200,6.8
11/1/2012,6.5,7.18,6.31,6.75,156800,6.75
10/31/2012,6.31,6.9,6,6.6,342100,6.6
10/26/2012,6.23,6.7,6.19,6.5,348000,6.5
10/25/2012,5.7,6.2,5.63,6.17,449800,6.17
10/24/2012,5,5.59,4.9,5.5,270600,5.5
10/23/2012,4.94,5.08,4.82,4.97,166400,4.97
10/22/2012,5.12,5.2,5.02,5.03,88300,5.03
10/19/2012,5.51,5.58,4.88,5.1,356500,5.1
10/18/2012,5.84,5.98,5.33,5.52,280900,5.52
10/17/2012,5.9,6.05,5.8,5.89,153100,5.89
10/16/2012,5.99,6.27,5.86,5.92,176300,5.92
10/15/2012,6.04,6.27,5.78,5.98,186900,5.98
10/12/2012,6.19,6.31,5.91,5.93,250900,5.93
10/11/2012,6.73,6.79,6.15,6.2,319300,6.2
10/10/2012,6.89,7.01,6.62,6.69,132000,6.69
10/9/2012,6.87,7.34,6.84,6.9,249600,6.9
10/8/2012,7.19,7.4,6.87,6.95,114700,6.95
10/5/2012,7.9,7.9,7.2,7.25,173400,7.25
10/4/2012,7.93,8.1,7.9,7.92,89100,7.92
10/3/2012,8.94,8.94,7.92,8,307500,8
10/2/2012,9.22,9.28,8.96,9,132800,9
10/1/2012,9.37,9.52,9.07,9.22,151900,9.22
9/28/2012,8.9,9.36,8.87,9.3,469100,9.3
9/27/2012,8.39,8.94,8.39,8.9,290500,8.9
9/26/2012,8.29,8.49,8.19,8.31,198500,8.31
9/25/2012,8.85,8.95,8.12,8.29,156200,8.29
9/24/2012,8.63,8.98,8.62,8.82,121800,8.82
9/21/2012,8.99,9.05,8.63,8.75,274800,8.75
9/20/2012,8.51,9.19,8.44,8.75,275800,8.75
9/19/2012,8.58,8.68,8.11,8.58,132300,8.58
9/18/2012,8.26,8.62,7.9,8.62,182400,8.62
9/17/2012,8.4,8.56,8,8.3,145600,8.3
9/14/2012,7.77,8.49,7.76,8.44,259400,8.44
9/13/2012,7.47,7.79,7.44,7.75,161000,7.75
9/12/2012,6.86,7.42,6.73,7.42,135100,7.42
9/11/2012,7.04,7.56,6.76,6.84,121500,6.84
9/10/2012,7.29,7.29,6.96,7.01,88400,7.01
9/7/2012,7.57,7.59,7.18,7.32,98300,7.32
9/6/2012,6.91,7.64,6.91,7.44,169700,7.44
9/5/2012,7.33,7.33,6.85,6.9,118200,6.9
9/4/2012,7.67,7.67,7.17,7.36,92600,7.36
8/31/2012,7.61,7.85,7.47,7.65,62700,7.65
8/30/2012,7.47,7.59,7.3,7.56,64800,7.56
8/29/2012,7.47,7.6,7.31,7.47,55100,7.47
8/28/2012,7.23,7.57,7.21,7.46,94800,7.46
8/27/2012,7.12,7.22,7.06,7.22,60800,7.22
8/24/2012,6.97,7.15,6.93,7.05,57200,7.05
8/23/2012,6.93,7.01,6.84,7,47200,7
8/22/2012,6.8,6.94,6.76,6.9,34400,6.9
8/21/2012,6.89,7.15,6.7,6.83,111400,6.83
8/20/2012,6.97,7.05,6.61,6.8,113600,6.8
8/17/2012,6.99,7.09,6.75,6.96,135400,6.96
8/16/2012,6.95,7.16,6.8,6.92,106000,6.92
8/15/2012,6.8,7.1,6.8,6.95,167800,6.95
8/14/2012,7.98,8.96,6.62,6.86,808700,6.86
8/13/2012,7.24,7.98,6.9,7.98,267500,7.98
8/10/2012,7.49,7.52,7.2,7.24,72400,7.24
8/9/2012,7.4,7.52,7.32,7.5,49100,7.5
8/8/2012,7.59,7.59,7.35,7.43,57200,7.43
8/7/2012,7.38,7.62,7.38,7.52,147800,7.52
